#NAME	Run	temperature	treat	code	fastin.glucose	AUC.change
NXT039_LYK_001_S125	ONE	22	UT22	22.control	8.7	23.145
NXT039_LYK_002_S126	ONE	22	UT22	22.control	8.1	46.534
NXT039_LYK_003_S127	ONE	22	ET22	22.ET	7.5	34.254
NXT039_LYK_004_S128	ONE	22	ET22	22.ET	7.7	34.447
NXT039_LYK_005_S129	ONE	30	UT30	30.control	5.7	60.056
NXT039_LYK_006_S130	ONE	30	UT30	30.control	7.3	32.788
NXT039_LYK_007_S131	ONE	30	ET30	30.ET	7.4	13.622
NXT039_LYK_008_S132	ONE	30	ET30	30.ET	6.2	28.192
NXT039_LYK_011_S135	ONE	22	UT22	22.control	8.4	36.885
NXT039_LYK_012_S136	ONE	22	UT22	22.control	8.6	47.939
NXT039_LYK_013_S137	ONE	22	ET22	22.ET	7.4	33.483
NXT039_LYK_014_S138	ONE	22	ET22	22.ET	8.4	27.763
NXT039_LYK_015_S139	ONE	30	UT30	30.control	7	22.751
NXT039_LYK_016_S140	ONE	30	UT30	30.control	6.2	28.104
NXT039_LYK_017_S141	ONE	30	ET30	30.ET	6.7	48.678
NXT039_LYK_018_S142	ONE	30	ET30	30.ET	6.1	31.12
NXT039_LYK_021_S145	ONE	22	UT22	22.control	7.4	39.328
NXT039_LYK_022_S146	ONE	22	UT22	22.control	8.3	28.397
NXT039_LYK_023_S147	ONE	22	ET22	22.ET	7.3	24.905
NXT039_LYK_024_S148	ONE	22	ET22	22.ET	8.2	15.712
NXT039_LYK_025_S149	ONE	30	UT30	30.control	5.6	44.331
NXT039_LYK_026_S150	ONE	30	UT30	30.control	5.6	53.197
NXT039_LYK_027_S151	ONE	30	ET30	30.ET	6.7	43.325
NXT039_LYK_028_S152	ONE	30	ET30	30.ET	6.7	3.176
NXT039_LYK_031_S155	ONE	22	UT22	22.control	8.7	25.588
NXT039_LYK_032_S156	ONE	22	UT22	22.control	7.3	34.748
NXT039_LYK_033_S157	ONE	22	ET22	22.ET	8.8	16.388
NXT039_LYK_034_S158	ONE	22	ET22	22.ET	8.2	10.797
NXT039_LYK_035_S159	ONE	30	UT30	30.control	5.3	41.654
NXT039_LYK_036_S160	ONE	30	UT30	30.control	5.7	34.796
NXT039_LYK_037_S161	ONE	30	ET30	30.ET	6.7	18.232
NXT039_LYK_038_S162	ONE	30	ET30	30.ET	6.1	40.823
NXT039_LYK_041_S165	ONE	22	ET22	22.ET	6.7	28.92
NXT039_LYK_042_S166	ONE	22	ET22	22.ET	7.6	25.643
NXT039_LYK_043_S167	ONE	30	UT30	30.control	5.4	27.1
NXT039_LYK_044_S168	ONE	30	ET30	30.ET	5.5	74.288
NXT039_LYK_045_S169	ONE	30	ET30	30.ET	6.2	46.091
NXT039_LYK_047_S171	TWO	22	UT22-paired	22.Controlr	8.7	23.145
NXT039_LYK_048_S172	TWO	22	ET22-paired	22.ETr	8.1	46.534
NXT039_LYK_051_S175	TWO	22	ET22-paired	22.ETr	7.5	34.254
NXT039_LYK_052_S176	TWO	22	UT22-paired	22.Controlr	7.7	34.447
NXT039_LYK_053_S177	TWO	22	UT22-paired	22.Controlr	5.7	60.056
NXT039_LYK_054_S178	TWO	22	ET22-paired	22.ETr	7.3	32.788
NXT039_LYK_055_S179	TWO	22	ET22-paired	22.ETr	7.4	13.622
NXT039_LYK_056_S180	TWO	22	UT22-paired	22.Controlr	6.2	28.192
NXT039_LYK_057_S181	TWO	22	UT22-paired	22.Controlr	8.4	36.885
NXT039_LYK_058_S182	TWO	22	ET22-paired	22.ETr	8.6	47.939
NXT039_LYK_061_S185	TWO	22	ET22-paired	22.ETr	7.4	33.483
NXT039_LYK_062_S186	TWO	22	UT22-paired	22.Controlr	8.4	27.763
NXT039_LYK_063_S187	TWO	22	UT22-paired	22.Controlr	7	22.751
NXT039_LYK_064_S188	TWO	22	ET22-paired	22.ETr	6.2	28.104
NXT039_LYK_065_S189	TWO	22	ET22-paired	22.ETr	6.7	48.678
NXT039_LYK_066_S190	TWO	22	UT22-paired	22.Controlr	6.1	31.12
NXT039_LYK_067_S191	TWO	22	UT22-paired	22.Controlr	7.4	39.328
NXT039_LYK_068_S192	TWO	22	ET22-paired	22.ETr	8.3	28.397
NXT039_LYK_071_S195	TWO	22	ET22-paired	22.ETr	7.3	24.905
