#NAME	NXT039_LYK_001_S125	NXT039_LYK_002_S126	NXT039_LYK_003_S127	NXT039_LYK_004_S128	NXT039_LYK_005_S129	NXT039_LYK_006_S130	NXT039_LYK_007_S131	NXT039_LYK_008_S132	NXT039_LYK_011_S135	NXT039_LYK_012_S136	NXT039_LYK_013_S137	NXT039_LYK_014_S138	NXT039_LYK_015_S139	NXT039_LYK_016_S140	NXT039_LYK_017_S141	NXT039_LYK_018_S142	NXT039_LYK_021_S145	NXT039_LYK_022_S146	NXT039_LYK_023_S147	NXT039_LYK_024_S148	NXT039_LYK_025_S149	NXT039_LYK_026_S150	NXT039_LYK_027_S151	NXT039_LYK_028_S152	NXT039_LYK_031_S155	NXT039_LYK_032_S156	NXT039_LYK_033_S157	NXT039_LYK_034_S158	NXT039_LYK_035_S159	NXT039_LYK_036_S160	NXT039_LYK_037_S161	NXT039_LYK_038_S162	NXT039_LYK_041_S165	NXT039_LYK_042_S166	NXT039_LYK_043_S167	NXT039_LYK_044_S168	NXT039_LYK_045_S169	NXT039_LYK_047_S171	NXT039_LYK_048_S172	NXT039_LYK_051_S175	NXT039_LYK_052_S176	NXT039_LYK_053_S177	NXT039_LYK_054_S178	NXT039_LYK_055_S179	NXT039_LYK_056_S180	NXT039_LYK_057_S181	NXT039_LYK_058_S182	NXT039_LYK_061_S185	NXT039_LYK_062_S186	NXT039_LYK_063_S187	NXT039_LYK_064_S188	NXT039_LYK_065_S189	NXT039_LYK_066_S190	NXT039_LYK_067_S191	NXT039_LYK_068_S192	NXT039_LYK_071_S195
zOTU_1	8800	7719	8570	7038	5466	3521	8022	6281	9182	4834	7421	6725	6166	10746	9075	8349	8263	7601	6427	6899	7051	5427	6657	6067	8804	6463	6892	3718	7981	8713	6246	6724	6188	6430	6802	8374	7837	7761	9515	6411	7298	6360	8004	6758	8764	12661	2651	4672	3914	6634	2856	5171	4546	5754	4976	6461
zOTU_10	3061	2934	3148	2560	1951	1338	2883	2218	3486	1883	2787	2418	2211	3729	3307	2856	3040	2900	2410	2562	2388	1788	2477	2111	3130	2487	2632	1460	2947	3179	2363	2531	2207	2468	2453	3055	2906	2561	3412	2172	2570	2311	2725	2239	3123	4525	937	1595	1416	2400	967	1762	1597	1907	1709	2321
zOTU_100	0	0	0	1	428	539	849	656	0	0	570	1052	789	1201	952	730	0	0	749	872	1352	873	764	631	610	643	0	0	340	623	788	519	686	646	457	422	573	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
zOTU_1000	22	20	69	33	0	5	10	13	24	43	19	50	38	22	36	27	21	20	11	20	2	4	30	5	2	23	14	35	11	1	14	11	35	36	13	4	5	19	94	30	14	3	47	37	0	3	2	2	1	1	11	6	1	1	8	10
zOTU_1001	1	3	31	8	4	4	19	3	51	9	20	18	11	1	42	5	38	16	36	51	3	13	25	5	1	14	22	39	0	4	9	14	23	23	12	23	3	4	10	15	9	4	4	3	0	58	43	30	27	6	4	44	1	1	15	21
zOTU_1002	16	20	6	32	2	7	5	10	30	36	8	33	23	19	30	4	18	2	24	21	6	11	32	31	1	13	3	19	7	3	20	10	32	4	12	2	6	31	8	9	13	19	17	126	16	18	11	10	8	15	13	54	2	7	6	12
zOTU_1003	2	2	14	11	50	14	6	4	0	0	4	19	29	8	30	67	3	23	0	1	48	28	26	20	15	3	2	10	28	50	11	9	0	3	73	21	17	6	24	6	4	7	58	3	4	15	2	2	3	10	2	6	1	7	1	6
zOTU_1004	24	23	17	75	13	14	3	1	1	0	1	7	4	11	3	1	62	36	0	23	18	6	2	28	3	41	0	31	32	0	17	22	0	0	7	7	1	4	0	1	162	0	0	0	0	0	16	37	18	16	137	0	1	21	12	0
zOTU_1005	14	10	22	7	5	49	42	42	13	14	46	103	93	69	26	10	42	58	96	58	38	8	8	127	12	8	14	102	1	23	2	13	23	18	3	0	60	0	1	10	0	1	2	5	2	0	3	1	2	3	0	2	2	0	0	6
zOTU_1006	26	17	2	0	8	21	39	20	16	22	0	32	28	29	33	0	18	8	22	21	46	28	4	21	20	37	2	12	19	44	24	5	10	10	24	18	20	0	18	3	37	0	21	77	0	0	1	2	4	27	0	0	15	6	1	0
zOTU_1007	31	7	0	0	0	0	0	0	149	59	0	0	0	0	0	0	0	0	4	6	0	0	0	0	362	101	0	0	0	0	0	0	164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1008	0	1	2	3	0	0	0	0	0	0	2	0	7	1	0	0	1	0	0	2	1	0	3	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	1	0	2	0	1	0	0	0	2	0	0	2	0	0	2	0
zOTU_1009	25	23	5	4	20	34	21	14	8	2	14	19	10	7	5	8	10	18	14	13	13	7	15	12	13	6	8	9	16	16	17	43	20	18	8	21	47	31	12	9	10	28	20	7	13	30	13	7	37	43	5	9	38	13	13	16
zOTU_101	676	1164	406	928	977	1372	1440	732	2485	2172	2210	1638	1456	863	2089	4405	1023	1179	1704	2287	1450	1162	1336	628	412	862	514	3499	1846	1783	1239	1056	2008	1314	800	888	1820	2429	733	2560	1748	13106	3405	4727	1821	3698	2954	1780	1619	1905	1585	3223	851	1485	1740	1484
zOTU_1010	31	8	18	6	16	16	14	19	96	12	27	24	26	11	32	10	17	8	17	15	22	33	15	53	9	31	11	15	12	5	29	38	62	9	39	6	12	10	5	13	14	25	47	39	15	17	15	4	15	18	6	11	8	3	12	8
zOTU_1011	0	25	49	1	6	3	4	12	37	106	18	128	1	3	55	35	9	1	3	62	0	9	106	1	0	2	10	8	0	0	96	19	1	73	72	0	9	0	1	6	0	2	0	0	1	12	10	20	0	0	2	13	0	0	15	11
zOTU_1012	16	6	27	1	2	5	20	10	13	16	4	23	27	13	0	1	3	9	1	1	33	30	20	20	0	2	9	23	9	16	3	6	34	10	6	13	23	11	25	25	14	30	45	65	18	17	17	12	11	18	20	18	20	11	38	36
